2026-03-20T04:49:52+00:00 | 12.191.134.71 | Attack:Port Scan | port=445 | status=SUCCESSFUL | severity=high | src=12.191.134.71 attack=Port Scan port=445 action=SUCCESSFUL sev=high
2026-03-21T07:03:19+00:00 | 204.63.101.194 | Attack:Credential Stuffing | port=3306 | status=DETECTED | severity=high | src=204.63.101.194 attack=Credential Stuffing port=3306 action=DETECTED sev=high pattern=login-failures
2026-03-21T03:28:50+00:00 | 189.71.120.186 | Attack:DDoS | port=21 | status=SUCCESSFUL | severity=medium | src=189.71.120.186 attack=DDoS port=21 action=SUCCESSFUL sev=medium peak_rps=72137
2026-03-21T01:04:37+00:00 | 71.206.198.185 | Attack:Credential Stuffing | port=3389 | status=BLOCKED | severity=medium | src=71.206.198.185 attack=Credential Stuffing port=3389 action=BLOCKED sev=medium
2026-03-20T23:39:45+00:00 | 61.125.162.193 | Attack:DDoS | port=3306 | status=MITIGATED | severity=low | src=61.125.162.193 attack=DDoS port=3306 action=MITIGATED sev=low peak_rps=81369
2026-03-21T10:11:41+00:00 | 178.59.72.125 | Attack:XSS | port=22 | status=BLOCKED | severity=low | src=178.59.72.125 attack=XSS port=22 action=BLOCKED sev=low noise:yx45
2026-03-20T22:25:21+00:00 | 84.37.64.10 | Attack:Malware | port=445 | status=DETECTED | severity=medium | src=84.37.64.10 attack=Malware port=445 action=DETECTED sev=medium
2026-03-21T03:22:56+00:00 | 181.75.21.2 | Attack:Credential Stuffing | port=80 | status=SUCCESSFUL | severity=medium | src=181.75.21.2 attack=Credential Stuffing port=80 action=SUCCESSFUL sev=medium
2026-03-20T02:26:41+00:00 | 222.232.119.254 | Attack:SQL Injection | port=445 | status=DETECTED | severity=medium | src=222.232.119.254 attack=SQL Injection port=445 action=DETECTED sev=medium
2026-03-20T23:51:59+00:00 | 121.109.162.8 | Attack:Phishing | port=21 | status=DETECTED | severity=low | src=121.109.162.8 attack=Phishing port=21 action=DETECTED sev=low
2026-03-20T06:46:05+00:00 | 195.47.56.167 | Attack:Credential Stuffing | port=445 | status=DETECTED | severity=medium | src=195.47.56.167 attack=Credential Stuffing port=445 action=DETECTED sev=medium
2026-03-21T18:39:42+00:00 | 18.88.158.27 | Attack:Malware | port=3306 | status=BLOCKED | severity=medium | src=18.88.158.27 attack=Malware port=3306 action=BLOCKED sev=medium
2026-03-20T20:57:18+00:00 | 130.184.69.104 | Attack:Phishing | port=443 | status=SUCCESSFUL | severity=high | src=130.184.69.104 attack=Phishing port=443 action=SUCCESSFUL sev=high
2026-03-20T17:30:06+00:00 | 109.159.36.175 | Attack:Malware | port=445 | status=DETECTED | severity=medium | src=109.159.36.175 attack=Malware port=445 action=DETECTED sev=medium noise:mb17
2026-03-20T00:37:31+00:00 | 168.246.194.47 | Attack:Brute Force | port=445 | status=DETECTED | severity=medium | src=168.246.194.47 attack=Brute Force port=445 action=DETECTED sev=medium
2026-03-20T17:19:56+00:00 | 221.48.171.144 | Attack:Malware | port=23 | status=DETECTED | severity=low | src=221.48.171.144 attack=Malware port=23 action=DETECTED sev=low
2026-03-21T04:22:35+00:00 | 160.133.40.49 | Attack:Malware | port=1433 | status=SUCCESSFUL | severity=medium | src=160.133.40.49 attack=Malware port=1433 action=SUCCESSFUL sev=medium
2026-03-20T19:21:48+00:00 | 218.122.194.23 | Attack:Phishing | port=3389 | status=MITIGATED | severity=low | src=218.122.194.23 attack=Phishing port=3389 action=MITIGATED sev=low
2026-03-21T00:48:54+00:00 | 217.152.235.60 | Attack:Phishing | port=1433 | status=BLOCKED | severity=medium | src=217.152.235.60 attack=Phishing port=1433 action=BLOCKED sev=medium noise:nj75
2026-03-20T15:26:02+00:00 | 109.117.33.239 | Attack:Credential Stuffing | port=22 | status=DETECTED | severity=medium | src=109.117.33.239 attack=Credential Stuffing port=22 action=DETECTED sev=medium
2026-03-20T05:12:56+00:00 | 140.255.21.21 | Attack:Malware | port=23 | status=DETECTED | severity=high | src=140.255.21.21 attack=Malware port=23 action=DETECTED sev=high
2026-03-20T20:47:43+00:00 | 193.30.237.212 | Attack:Phishing | port=80 | status=DETECTED | severity=medium | src=193.30.237.212 attack=Phishing port=80 action=DETECTED sev=medium
2026-03-21T10:01:31+00:00 | 209.186.71.241 | Attack:Port Scan | port=443 | status=MITIGATED | severity=low | src=209.186.71.241 attack=Port Scan port=443 action=MITIGATED sev=low
2026-03-21T04:31:30+00:00 | 87.192.139.70 | Attack:Phishing | port=22 | status=SUCCESSFUL | severity=low | src=87.192.139.70 attack=Phishing port=22 action=SUCCESSFUL sev=low
2026-03-20T06:01:56+00:00 | 135.121.118.172 | Attack:Phishing | port=23 | status=SUCCESSFUL | severity=medium | src=135.121.118.172 attack=Phishing port=23 action=SUCCESSFUL sev=medium
2026-03-21T10:47:05+00:00 | 213.9.157.107 | Attack:DDoS | port=445 | status=DETECTED | severity=medium | src=213.9.157.107 attack=DDoS port=445 action=DETECTED sev=medium noise:dt22 peak_rps=94548
2026-03-21T16:31:35+00:00 | 206.92.168.215 | Attack:Malware | port=3389 | status=SUCCESSFUL | severity=high | src=206.92.168.215 attack=Malware port=3389 action=SUCCESSFUL sev=high noise:uw63
2026-03-20T09:38:13+00:00 | 207.66.193.164 | Attack:Port Scan | port=443 | status=DETECTED | severity=medium | src=207.66.193.164 attack=Port Scan port=443 action=DETECTED sev=medium
2026-03-21T06:40:16+00:00 | 30.23.248.200 | Attack:XSS | port=22 | status=SUCCESSFUL | severity=medium | src=30.23.248.200 attack=XSS port=22 action=SUCCESSFUL sev=medium
2026-03-20T09:11:40+00:00 | 206.128.120.49 | Attack:Brute Force | port=443 | status=DETECTED | severity=low | src=206.128.120.49 attack=Brute Force port=443 action=DETECTED sev=low noise:ed50
2026-03-21T14:30:22+00:00 | 196.100.27.179 | Attack:Brute Force | port=3306 | status=DETECTED | severity=medium | src=196.100.27.179 attack=Brute Force port=3306 action=DETECTED sev=medium
2026-03-21T02:24:17+00:00 | 207.230.177.80 | Attack:DDoS | port=3389 | status=BLOCKED | severity=medium | src=207.230.177.80 attack=DDoS port=3389 action=BLOCKED sev=medium peak_rps=9165
2026-03-21T08:29:43+00:00 | 205.234.245.139 | Attack:Port Scan | port=3389 | status=SUCCESSFUL | severity=low | src=205.234.245.139 attack=Port Scan port=3389 action=SUCCESSFUL sev=low noise:ys71
2026-03-21T03:52:16+00:00 | 53.157.245.125 | Attack:Port Scan | port=3306 | status=SUCCESSFUL | severity=high | src=53.157.245.125 attack=Port Scan port=3306 action=SUCCESSFUL sev=high
2026-03-21T07:36:49+00:00 | 174.147.19.30 | Attack:XSS | port=1433 | status=DETECTED | severity=medium | src=174.147.19.30 attack=XSS port=1433 action=DETECTED sev=medium
2026-03-20T15:21:29+00:00 | 159.96.81.248 | Attack:DDoS | port=22 | status=BLOCKED | severity=low | src=159.96.81.248 attack=DDoS port=22 action=BLOCKED sev=low peak_rps=30829
2026-03-21T15:49:52+00:00 | 206.47.133.43 | Attack:DDoS | port=80 | status=SUCCESSFUL | severity=low | src=206.47.133.43 attack=DDoS port=80 action=SUCCESSFUL sev=low peak_rps=117469
2026-03-20T07:51:43+00:00 | 142.90.194.159 | Attack:SQL Injection | port=23 | status=DETECTED | severity=low | src=142.90.194.159 attack=SQL Injection port=23 action=DETECTED sev=low
2026-03-21T02:41:51+00:00 | 37.87.195.229 | Attack:Brute Force | port=22 | status=SUCCESSFUL | severity=low | src=37.87.195.229 attack=Brute Force port=22 action=SUCCESSFUL sev=low
2026-03-20T13:22:13+00:00 | 172.87.80.51 | Attack:XSS | port=22 | status=SUCCESSFUL | severity=medium | src=172.87.80.51 attack=XSS port=22 action=SUCCESSFUL sev=medium noise:vy71
2026-03-20T23:45:00+00:00 | 154.63.223.12 | Attack:Port Scan | port=443 | status=DETECTED | severity=high | src=154.63.223.12 attack=Port Scan port=443 action=DETECTED sev=high
2026-03-20T09:47:05+00:00 | 105.0.180.246 | Attack:SQL Injection | port=22 | status=DETECTED | severity=medium | src=105.0.180.246 attack=SQL Injection port=22 action=DETECTED sev=medium
2026-03-20T07:01:10+00:00 | 212.208.218.186 | Attack:Credential Stuffing | port=445 | status=MITIGATED | severity=medium | src=212.208.218.186 attack=Credential Stuffing port=445 action=MITIGATED sev=medium
2026-03-20T20:13:33+00:00 | 164.12.207.70 | Attack:Credential Stuffing | port=445 | status=DETECTED | severity=medium | src=164.12.207.70 attack=Credential Stuffing port=445 action=DETECTED sev=medium
2026-03-20T20:41:14+00:00 | 197.48.214.101 | Attack:XSS | port=445 | status=DETECTED | severity=high | src=197.48.214.101 attack=XSS port=445 action=DETECTED sev=high
2026-03-21T20:37:27+00:00 | 102.16.133.50 | Attack:Credential Stuffing | port=23 | status=BLOCKED | severity=medium | src=102.16.133.50 attack=Credential Stuffing port=23 action=BLOCKED sev=medium noise:ey05
2026-03-21T12:32:46+00:00 | 135.123.196.9 | Attack:Port Scan | port=3306 | status=BLOCKED | severity=low | src=135.123.196.9 attack=Port Scan port=3306 action=BLOCKED sev=low
2026-03-21T08:01:56+00:00 | 93.237.43.119 | Attack:Malware | port=3306 | status=DETECTED | severity=low | src=93.237.43.119 attack=Malware port=3306 action=DETECTED sev=low noise:jp84
2026-03-20T06:26:29+00:00 | 52.17.28.74 | Attack:XSS | port=3306 | status=DETECTED | severity=medium | src=52.17.28.74 attack=XSS port=3306 action=DETECTED sev=medium
2026-03-20T16:56:48+00:00 | 29.57.158.171 | Attack:Credential Stuffing | port=443 | status=DETECTED | severity=medium | src=29.57.158.171 attack=Credential Stuffing port=443 action=DETECTED sev=medium noise:cn62
2026-03-20T20:06:58+00:00 | 194.99.80.241 | Attack:Phishing | port=22 | status=BLOCKED | severity=high | src=194.99.80.241 attack=Phishing port=22 action=BLOCKED sev=high
2026-03-20T17:37:37+00:00 | 207.114.146.177 | Attack:Malware | port=1433 | status=DETECTED | severity=medium | src=207.114.146.177 attack=Malware port=1433 action=DETECTED sev=medium noise:ub89
2026-03-21T03:17:45+00:00 | 39.23.36.32 | Attack:XSS | port=3389 | status=DETECTED | severity=low | src=39.23.36.32 attack=XSS port=3389 action=DETECTED sev=low
2026-03-21T11:38:58+00:00 | 192.86.164.187 | Attack:Port Scan | port=23 | status=MITIGATED | severity=medium | src=192.86.164.187 attack=Port Scan port=23 action=MITIGATED sev=medium
2026-03-20T22:54:59+00:00 | 184.237.242.110 | Attack:Phishing | port=22 | status=DETECTED | severity=low | src=184.237.242.110 attack=Phishing port=22 action=DETECTED sev=low noise:gh34
2026-03-20T02:58:26+00:00 | 66.189.11.27 | Attack:Brute Force | port=443 | status=SUCCESSFUL | severity=low | src=66.189.11.27 attack=Brute Force port=443 action=SUCCESSFUL sev=low
2026-03-20T08:44:09+00:00 | 133.97.251.19 | Attack:XSS | port=23 | status=DETECTED | severity=medium | src=133.97.251.19 attack=XSS port=23 action=DETECTED sev=medium
